date,dc_key,fatal,has_court_case,hood,house_district,school,senate_district,street_name,zip,lng,lat
11/22/22,2.02214E+11,Fatal,No,Germantown,198,Mastery Charter School at Pastorius,4,BLAKEMORE ST,19138,-75.160258,40.048365
11/22/22,2.02214E+11,Nonfatal,No,Germantown,198,Mastery Charter School at Pastorius,4,BLAKEMORE ST,19138,-75.160258,40.048365
11/22/22,2.02225E+11,Nonfatal,No,Hunting Park-Fairhill,197,Honorable Luis Munoz-Marin School,2,N PHILIP ST,19140,-75.133373,40.001189
11/22/22,2.02215E+11,Nonfatal,No,Frankford,179,Allen M. Stearne School,2,FRANKFORD AVE,19124,-75.091351,40.006286
11/21/22,2.02219E+11,Nonfatal,No,Haddington-Overbrook,190,John Barry School,7,MARKET ST,19139,-75.232538,39.961021
11/21/22,2.02215E+11,Nonfatal,No,Frankford,179,The Philadelphia Charter School for Arts and Sciences,2,OXFORD AVE,19124,-75.08485,40.026506
11/20/22,2.02215E+11,Nonfatal,No,Wissinoming-Tacony,173,Hamilton Disston School,5,TORRESDALE AVE,19135,-75.051466,40.021779
11/19/22,2.02226E+11,Nonfatal,No,Northern Liberties-West Kensington,197,William H. Hunter School,2,W SUSQUEHANNA AVE,19122,-75.133844,39.98345
11/19/22,2.02226E+11,Fatal,No,Northern Liberties-West Kensington,197,William H. Hunter School,2,W COLONA ST,19122,-75.133801,39.983646
11/18/22,2.02226E+11,Nonfatal,No,Lower Kensington,175,Alexander Adaire School,1,E ALLEN ST,19125,-75.133783,39.965645
11/18/22,2.02239E+11,Nonfatal,No,Nicetown-Tioga,197,Tanner G. Duckrey School,3,W GLENWOOD AVE,19132,-75.156405,39.995838
11/18/22,2.02215E+11,Nonfatal,No,Frankford,177,John Marshall School,2,RUAN ST,19124,-75.092644,40.012003
11/18/22,2.02218E+11,Nonfatal,No,University City,188,Sadie Alexander School,8,SPRUCE ST,19104,-75.210831,39.952778
11/18/22,2.02215E+11,Fatal,No,Mayfair-Holmesburg,177,Mayfair School,2,COTTMAN AVE,19136,-75.045819,40.039602
11/18/22,2.02222E+11,Nonfatal,No,Sharswood-Stanton,197,Tanner G. Duckrey School,3,N CHADWICK ST,19132,-75.160413,39.987061
11/18/22,2.02215E+11,Nonfatal,No,Mayfair-Holmesburg,172,Ethan Allen School,2,FRANKFORD AVE,19149,-75.059806,40.027967
11/17/22,2.02218E+11,Nonfatal,No,University City,188,Samuel Powel School,8,SPRUCE ST,19104,-75.193972,39.950594
11/17/22,2.02224E+11,Nonfatal,No,Hunting Park-Fairhill,180,Juniata Park Academy,3,G ST,19120,-75.112164,40.012095
11/17/22,2.02214E+11,Fatal,No,Germantown,201,Mastery Charter School at Pastorius,4,CRITTENDEN ST,19138,-75.159646,40.053711
11/17/22,2.02203E+11,Nonfatal,No,Southwark-Bella Vista,184,Andrew Jackson School,1,S BROAD ST,19147,-75.167943,39.931899
11/17/22,2.02218E+11,Nonfatal,No,Cobbs Creek,188,Global Leadership Academy at Huey,8,S 54TH ST,19143,-75.230465,39.951706
